Year,Country,Location,Name,Type,VEI,Coordinates
1982,Indonesia,Java,Galunggung,Stratovolcano,4.0,"-7.25, 108.05"
1981,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1981,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1981,Indonesia,Lesser Sunda Is,Paluweh,Stratovolcano,2.0,"-8.32, 121.708"
1981,Russia,Kuril Is,Alaid,Stratovolcano,2.0,"50.858, 155.55"
1981,Italy,Italy,Etna,Stratovolcano,2.0,"37.734, 15.004"
1980,Iceland,Iceland-S,Hekla,Stratovolcano,3.0,"63.98, -19.7"
1980,United States,US-Washington,St. Helens,Stratovolcano,5.0,"46.2, -122.18"
1979,Japan,Kyushu-Japan,Aso,Caldera,2.0,"32.88, 131.1"
1979,Italy,Italy,Etna,Stratovolcano,2.0,"37.734, 15.004"
1979,Papua New Guinea,New Guinea-NE of,Karkar,Stratovolcano,2.0,"-4.649, 145.964"
1979,Indonesia,Java,Dieng Volc Complex,Complex volcano,1.0,"-7.2, 109.92"
1979,St. Vincent & the Grenadines,W Indies,Soufriere St. Vincent,Stratovolcano,3.0,"13.33, -61.18"
1978,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1978,Japan,Hokkaido-Japan,Usu,Stratovolcano,3.0,"42.53, 140.83"
1978,Guatemala,Guatemala,Santa Maria,Stratovolcano,3.0,"14.756, -91.552"
1978,Philippines,Luzon-Philippines,Bulusan,Stratovolcano,2.0,"12.77, 124.05"
1977,Russia,Kamchatka,Kliuchevskoi,Stratovolcano,3.0,"56.057, 160.638"
1977,Iceland,Iceland-NE,Krafla,Caldera,1.0,"65.73, -16.78"
1977,Japan,Hokkaido-Japan,Usu,Stratovolcano,3.0,"42.53, 140.83"
1977,Comoros,Indian O-W,Karthala,Shield volcano,0.0,"-11.75, 43.38"
1976,Indonesia,Java,Semeru,Stratovolcano,2.0,"-8.108, 112.92"
1976,Indonesia,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,2.0,"2.78, 125.48"
1976,Ecuador,Ecuador,Sangay,Stratovolcano,3.0,"-2.03, -78.33"
1976,Indonesia,Java,Merapi,Stratovolcano,2.0,"-7.542, 110.442"
1975,Indonesia,Sumatra,Marapi,Complex volcano,2.0,"-0.381, 100.473"
1975,United States,Hawaiian Is,Kilauea,Shield volcano,0.0,"19.425, -155.292"
1975,Costa Rica,Costa Rica,Arenal,Stratovolcano,3.0,"10.463, -84.703"
1974,Indonesia,Java,Merapi,Stratovolcano,2.0,"-7.542, 110.442"
1974,Indonesia,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,3.0,"2.78, 125.48"
1974,Japan,Kyushu-Japan,Sakura-jima,Stratovolcano,3.0,"31.58, 130.67"
1974,Papua New Guinea,New Guinea-NE of,Ritter Island,Stratovolcano,1.0,"-5.52, 148.121"
1974,Guatemala,Guatemala,Fuego,Stratovolcano,4.0,"14.473, -90.88"
1974,Japan,Honshu-Japan,Niigata-Yake-yama,Lava dome,2.0,"36.92, 138.03"
1974,Japan,Kyushu-Japan,Sakura-jima,Stratovolcano,3.0,"31.58, 130.67"
1973,Indonesia,Lesser Sunda Is,Paluweh,Stratovolcano,3.0,"-8.32, 121.708"
1973,Iceland,Iceland-S,Vestmannaeyjar,Submarine volcano,3.0,"63.43, -20.28"
1973,Indonesia,Lesser Sunda Is,Iliwerung,Complex volcano,2.0,"-8.54, 123.59"
1972,Papua New Guinea,New Guinea-NE of,Ritter Island,Stratovolcano,1.0,"-5.52, 148.121"
1971,Solomon Is.,Santa Cruz Is-SW Pac,Tinakula,Stratovolcano,2.0,"-10.38, 165.8"
1971,Chile,Chile-C,Villarrica,Stratovolcano,2.0,"-39.42, -71.93"
1971,Spain,Canary Is,La Palma,Stratovolcano,2.0,"28.58, -17.83"
1971,Guatemala,Guatemala,Fuego,Stratovolcano,3.0,"14.473, -90.88"
1970,Iceland,Iceland-S,Hekla,Stratovolcano,3.0,"63.98, -19.7"
1969,Indonesia,Java,Merapi,Stratovolcano,2.0,"-7.542, 110.442"
1969,Indonesia,Lesser Sunda Is,Iya,Stratovolcano,3.0,"-8.88, 121.63"
1969,Philippines,Luzon-N of,Didicas,Compound volcano,2.0,"19.077, 122.202"
1968,Costa Rica,Costa Rica,Arenal,Stratovolcano,3.0,"10.463, -84.703"
1968,Philippines,Luzon-Philippines,Mayon,Stratovolcano,3.0,"13.257, 123.685"
1967,Antarctica,Antarctica,Deception Island,Caldera,3.0,"-62.97, -60.65"
1967,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1966,Indonesia,Java,Kelut,Stratovolcano,4.0,"-7.93, 112.308"
1966,Solomon Is.,Santa Cruz Is-SW Pac,Tinakula,Stratovolcano,3.0,"-10.38, 165.8"
1966,Indonesia,Sangihe Is-Indonesia,Awu,Stratovolcano,4.0,"3.67, 125.5"
1965,Philippines,Luzon-Philippines,Taal,Stratovolcano,4.0,"14.002, 120.993"
1965,Netherlands,W Indies,Kick-'em-Jenny,Submarine volcano,0.0,"12.3, -61.63"
1964,Indonesia,Lesser Sunda Is,Paluweh,Stratovolcano,2.0,"-8.32, 121.708"
1964,Indonesia,Java,Dieng Volc Complex,Complex volcano,1.0,"-7.2, 109.92"
1964,Chile,Chile-C,Villarrica,Stratovolcano,2.0,"-39.42, -71.93"
1963,Costa Rica,Costa Rica,Irazu,Stratovolcano,3.0,"9.979, -83.852"
1963,Costa Rica,Costa Rica,Irazu,Stratovolcano,3.0,"9.979, -83.852"
1963,Chile,Chile-C,Villarrica,Stratovolcano,2.0,"-39.42, -71.93"
1963,Indonesia,Lesser Sunda Is,Agung,Stratovolcano,3.0,"-8.342, 115.508"
1963,Indonesia,Java,Semeru,Stratovolcano,2.0,"-8.108, 112.92"
1963,Indonesia,Lesser Sunda Is,Agung,Stratovolcano,5.0,"-8.342, 115.508"
1963,Indonesia,Lesser Sunda Is,Batur,Caldera,2.0,"-8.242, 115.375"
1963,Guatemala,Guatemala,Fuego,Stratovolcano,3.0,"14.473, -90.88"
1962,Japan,Hokkaido-Japan,Tokachi,Stratovolcano,3.0,"43.42, 142.68"
1962,Indonesia,Halmahera-Indonesia,Gamalama,Stratovolcano,2.0,"0.8, 127.325"
1961,Japan,Honshu-Japan,Asama,Complex volcano,2.0,"36.4, 138.53"
1961,Indonesia,Java,Merapi,Stratovolcano,3.0,"-7.542, 110.442"
1961,Chile,Chile-S,Calbuco,Stratovolcano,3.0,"-41.326, -72.614"
1960,Chile,Chile-C,Puyehue,Stratovolcano,3.0,"-40.59, -72.117"
1958,Indonesia,Sulawesi-Indonesia,Mahawu,Stratovolcano,2.0,"1.358, 124.858"
1958,Vanuatu,Vanuatu-SW Pacific,Kuwae,Caldera,2.0,"-16.829, 168.536"
1957,Japan,Izu Is-Japan,Oshima,Stratovolcano,2.0,"34.73, 139.38"
1957,Japan,Kyushu-Japan,Aso,Caldera,2.0,"32.88, 131.1"
1957,United States,Aleutian Is,Vsevidof,Stratovolcano,2.0,"53.13, -168.68"
1956,Russia,Kamchatka,Bezymianny,Stratovolcano,5.0,"55.978, 160.587"
1955,Chile,Chile-C,Carran-Los Venados,Pyroclastic cone,4.0,"-40.35, -72.07"
1955,Japan,Kyushu-Japan,Sakura-jima,Stratovolcano,3.0,"31.58, 130.67"
1954,Papua New Guinea,New Guinea-NE of,Bam,Stratovolcano,2.0,"-3.6, 144.85"
1953,Japan,Izu Is-Japan,Myojun Knoll,Submarine volcano,2.0,"32.1, 139.85"
1953,Japan,Izu Is-Japan,Oshima,Stratovolcano,1.0,"34.73, 139.38"
1953,Japan,Izu Is-Japan,Myojun Knoll,Submarine volcano,2.0,"32.1, 139.85"
1953,Indonesia,Lesser Sunda Is,Sirung,Complex volcano,0.0,"-8.51, 124.148"
1953,Japan,Kyushu-Japan,Aso,Caldera,2.0,"32.88, 131.1"
1953,Papua New Guinea,Admiralty Is-SW Paci,St. Andrew Strait,Complex volcano,0.0,"-2.38, 147.35"
1953,Indonesia,Java,Merapi,Stratovolcano,3.0,"-7.542, 110.442"
1952,Japan,Izu Is-Japan,Myojun Knoll,Submarine volcano,2.0,"32.1, 139.85"
1952,Japan,Izu Is-Japan,Myojun Knoll,Submarine volcano,2.0,"32.1, 139.85"
1952,Philippines,Luzon-Philippines,Ambalatungan Group,Compound volcano,1.0,"17.32, 121.1"
1952,Japan,Izu Is-Japan,Myojun Knoll,Submarine volcano,2.0,"32.1, 139.85"
1952,Japan,Izu Is-Japan,Myojun Knoll,Submarine volcano,2.0,"32.1, 139.85"
1951,Papua New Guinea,New Guinea,Lamington,Stratovolcano,4.0,"-8.95, 148.15"
1951,Philippines,Mindanao-Philippines,Camiguin,Stratovolcano,3.0,"9.203, 124.673"
1951,Solomon Is.,Solomon Is-SW Pacifi,Kavachi,Submarine volcano,2.0,"-9.02, 157.95"
1951,Indonesia,Java,Kelut,Stratovolcano,3.0,"-7.93, 112.308"
1950,Philippines,Mindanao-Philippines,Camiguin,Stratovolcano,3.0,"9.203, 124.673"
1950,Indonesia,Java,Semeru,Stratovolcano,1.0,"-8.108, 112.92"
1950,Japan,Honshu-Japan,Asama,Complex volcano,2.0,"36.4, 138.53"
1949,Philippines,Mindanao-Philippines,Camiguin,Stratovolcano,3.0,"9.203, 124.673"
1949,Colombia,Colombia,Purace,Stratovolcano,2.0,"2.32, -76.4"
1949,Chile,Chile-C,Villarrica,Stratovolcano,3.0,"-39.42, -71.93"
1948,Indonesia,Lesser Sunda Is,Iliwerung,Complex volcano,2.0,"-8.54, 123.59"
1947,Iceland,Iceland-S,Hekla,Stratovolcano,4.0,"63.98, -19.7"
1947,Philippines,Luzon-Philippines,Mayon,Stratovolcano,2.0,"13.257, 123.685"
1947,Japan,Honshu-Japan,Asama,Complex volcano,2.0,"36.4, 138.53"
1946,Japan,Kyushu-Japan,Sakura-jima,Stratovolcano,2.0,"31.58, 130.67"
1946,Russia,Kuril Is,Sarychev Peak,Stratovolcano,4.0,"48.092, 153.2"
1946,Indonesia,Java,Semeru,Stratovolcano,2.0,"-8.108, 112.92"
1946,Indonesia,Java,Semeru,Stratovolcano,2.0,"-8.108, 112.92"
1944,Japan,Hokkaido-Japan,Usu,Stratovolcano,2.0,"42.53, 140.83"
1944,Italy,Italy,Stromboli,Stratovolcano,2.0,"38.789, 15.213"
1944,Japan,Hokkaido-Japan,Usu,Stratovolcano,2.0,"42.53, 140.83"
1944,Indonesia,Java,Dieng Volc Complex,Complex volcano,2.0,"-7.2, 109.92"
1944,United States,Aleutian Is,Cleveland,Stratovolcano,3.0,"52.82, -169.95"
1944,Italy,Italy,Vesuvius,Complex volcano,2.0,"40.821, 14.426"
1943,Mexico,Mexico,Michoacan-Guanajuato,Cinder cone,4.0,"19.48, -102.25"
1941,Indonesia,Java,Semeru,Stratovolcano,2.0,"-8.108, 112.92"
1941,Japan,Honshu-Japan,Asama,Complex volcano,2.0,"36.4, 138.53"
1940,Indonesia,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,2.0,"2.78, 125.48"
1940,Japan,Izu Is-Japan,Miyake-jima,Stratovolcano,2.0,"34.08, 139.53"
1939,Japan,Izu Is-Japan,Tori-shima,Stratovolcano,2.0,"30.48, 140.32"
1939,Indonesia,Java,Dieng Volc Complex,Complex volcano,1.0,"-7.2, 109.92"
1939,Netherlands,W Indies,Kick-'em-Jenny,Submarine volcano,1.0,"12.3, -61.63"
1938,Philippines,Luzon-Philippines,Mayon,Stratovolcano,2.0,"13.257, 123.685"
1938,Japan,Honshu-Japan,Asama,Complex volcano,1.0,"36.4, 138.53"
1937,Chile,Chile-C,Llaima,Stratovolcano,2.0,"-38.692, -71.729"
1937,Papua New Guinea,New Britain-SW Pac,Rabaul,Pyroclastic shield,4.0,"-4.271, 152.203"
1936,Japan,Honshu-Japan,Asama,Complex volcano,3.0,"36.4, 138.53"
1933,Russia,Kuril Is,Kharimkotan,Stratovolcano,3.0,"49.12, 154.508"
1933,Philippines,Luzon-Philippines,Bulusan,Stratovolcano,2.0,"12.77, 124.05"
1933,Japan,Ryukyu Is,Kuchinoerabu-jima,Stratovolcano,4.0,"30.43, 130.22"
1932,Japan,Honshu-Japan,Kusatsu-Shirane,Stratovolcano,3.0,"36.62, 138.55"
1932,Guatemala,Guatemala,Fuego,Stratovolcano,4.0,"14.473, -90.88"
1931,Japan,Honshu-Japan,Asama,Complex volcano,3.0,"36.4, 138.53"
1930,Italy,Italy,Stromboli,Stratovolcano,3.0,"38.789, 15.213"
1930,Japan,Honshu-Japan,Asama,Complex volcano,3.0,"36.4, 138.53"
1930,Indonesia,Java,Merapi,Stratovolcano,3.0,"-7.542, 110.442"
1930,Indonesia,Indonesia,Krakatau,Caldera,2.0,"-6.102, 105.423"
