Year,Country,Location,Name,Type,VEI,Coordinates
-197,Greece,Greece,Santorini,Shield volcano,3.0,"36.404, 25.396"
-250,New Zealand,Kermadec Is,Raoul Island,Stratovolcano,6.0,"-29.27, -177.92"
-455,Ecuador,Ecuador,Cotopaxi,Stratovolcano,4.0,"-0.677, -78.436"
-1010,Ecuador,Ecuador,Tungurahua,Stratovolcano,5.0,"-1.467, -78.442"
-1050,Philippines,Luzon-Philippines,Pinatubo,Stratovolcano,6.0,"15.13, 120.35"
-1370,Papua New Guinea,New Britain-SW Pac,Pago,Caldera,6.0,"-5.58, 150.52"
-1460,New Zealand,New Zealand,Taupo,Caldera,6.0,"-38.82, 176.0"
-1610,Greece,Greece,Santorini,Shield volcano,7.0,"36.404, 25.396"
-1645,United States,Alaska Peninsula,Aniakchak,Caldera,6.0,"56.88, -158.17"
-1750,United States,Alaska Peninsula,Veniaminof,Stratovolcano,6.0,"56.17, -159.38"
-1860,United States,US-Washington,St. Helens,Stratovolcano,6.0,"46.2, -122.18"
-1900,United States,Alaska Peninsula,Black Peak,Stratovolcano,6.0,"56.53, -158.8"
-2040,Papua New Guinea,New Guinea-NE of,Long Island,Complex volcano,6.0,"-5.358, 147.12"
-2420,Italy,Italy,Vesuvius,Complex volcano,5.0,"40.821, 14.426"
-3550,Philippines,Luzon-Philippines,Pinatubo,Stratovolcano,6.0,"15.13, 120.35"
-3580,Philippines,Luzon-Philippines,Taal,Stratovolcano,6.0,"14.002, 120.993"
-4000,Papua New Guinea,New Britain-SW Pac,Pago,Caldera,6.0,"-5.58, 150.52"
-4050,Nicaragua,Nicaragua,Masaya,Caldera,6.0,"11.984, -86.161"
-4350,Japan,Ryukyu Is,Kikai,Caldera,7.0,"30.78, 130.28"
-4360,New Zealand,Kermadec Is,Macauley Island,Caldera,6.0,"-30.2, -178.47"
